ID,Class
750,Blankenship
751,Hayes
752,Sherwin
753,Shea
754,Chell
755,Johnson
756,Morrison
757,Harp
758,Shea
759,Shea
760,Chachra
761,Merritt
762,Chell
763,Chell
764,Hayes
765,Chachra
766,Chell
767,Mahlers2nd
768,Hayes
769,Hayes
770,Lovitt
771,Auken
772,Lovitt
773,Chell
774,Shea
775,Chachra
776,Chachra
777,Chell
778,Chell
779,Chell
780,Chell
781,Mahlers2nd
782,Chachra
783,Chell
784,Chell
785,Hayes
786,Chachra
787,Harp
788,Shea
789,Chachra
790,Mahlers2nd
791,Chell
792,Morrison
793,Hayes
794,Hayes
795,Sherwin
796,Chell
797,Chandler
798,Chachra
799,Chachra
800,Chell
801,Hayes
802,Chell
803,Hayes
804,Chachra
805,Hayes
806,Chandler
807,Chell
808,Chachra
809,Engineer
810,Blankenship
811,Mahlers2nd
812,Chachra
813,Sherwin
814,Johnson
815,Chell
816,Hayes
817,Peterson
818,Mahlers2nd
819,Taylor
820,Chachra
821,Harp
822,Mark
823,Blankenship
824,Chachra
825,Chachra
826,Chachra
827,Chell
828,Lovitt
829,Chachra
830,Mahlers2nd
831,Hayes
832,Blankenship
833,Chachra
834,Mahlers2nd
835,Engineer
836,Mark
837,Lovitt
838,Chell
839,Chachra
840,Shea
841,Chell
842,Hayes
843,Taylor
844,Mahlers2nd
845,Lovitt
846,Hayes
847,Peterson
848,Hayes
849,Chandler
850,Chachra
851,Hayes
852,Chell
853,Hayes
854,Chell
855,Morrison
856,Johnson
857,Hayes
858,Chachra
859,Lovitt
860,Merritt
861,Davisson
862,Taylor
863,Hayes
864,Chell
865,Chachra
866,Chachra
867,Hayes
868,Hayes
869,Chell
870,Chachra
871,Harp
872,Hayes
873,Chandler
874,Chachra
875,Hayes
876,Ashbacher
877,Merritt
878,Chell
879,Lovitt
880,Mahlers2nd
881,Engineer
882,Chell
883,Chachra
884,Hayes
885,Morrison
886,Mark
887,Hayes
888,Chell
889,Chell
890,Chell
891,Lovitt
892,Taylor
893,Hayes
894,Hayes
895,Hayes
896,Chell
897,Merritt
898,Mahlers2nd
899,Engineer
900,Ashbacher
901,Hayes
902,Chachra
903,Mahlers2nd
904,Lovitt
905,Chell
906,Chell
907,Hayes
908,Taylor
909,Merritt
910,Mahlers2nd
911,Chachra
912,Chell
913,Chell
914,Taylor
915,Blankenship
916,Lovitt
917,Hayes
918,Chell
919,Chell
920,Chachra
921,Chachra
922,Chachra
923,Mark
924,Lovitt
925,Peterson
926,Taylor
927,Lovitt
928,Chachra
929,Chachra
930,Morrison
931,Chachra
932,Chell
933,Mahlers2nd
934,Chell
935,Johnson
936,Chell
937,Harp
938,Chell
939,Chell
940,Hayes
941,Chell
942,Chell
943,Chell
944,Lovitt
945,Hayes
946,Chell
947,Lovitt
948,Lovitt
949,Lovitt
950,Lovitt
951,Chachra
952,Power
953,Chandler
954,Taylor
955,Chell
956,Blankenship
957,Chell
958,Lovitt
959,Chell
960,Mahlers2nd
961,Hayes
962,Taylor
963,Hayes
964,Mahlers2nd
965,Lovitt
966,Chandler
967,Shea
968,Mahlers2nd
969,Chell
970,Chell
971,Johnson
972,Chell
973,Chell
974,Chachra
975,Johnson
976,Harp
977,Blankenship
978,Harp
979,Shea
980,Lovitt
981,Merritt
982,Chell
983,Shea
984,Lovitt
985,Chandler
986,Chell
987,Hayes
988,Lovitt
989,Shea
990,Hayes
991,Lovitt
992,Chell
993,Hayes
994,Chell
995,Hayes
996,Hayes
997,Shea
998,Shea
999,Chell
1000,Taylor
1001,Blankenship
1002,Hayes
1003,Chachra
1004,Lovitt
1005,Chell
1006,Chell
1007,Mark
1008,Chandler
1009,Taylor
1010,Koenig
1011,Chachra
1012,Merritt
1013,Hayes
1014,Chell
1015,Hayes
1016,Harp
1017,Hayes
1018,Merritt
1019,Hayes
1020,Chachra
1021,Chachra
1022,Shea
1023,Chell
1024,Chell
1025,Harp
1026,Mahlers2nd
1027,Lovitt
1028,Hayes
1029,Mahlers2nd
1030,Shea
1031,Lovitt
1032,Mahlers2nd
1033,Chell
1034,Chachra
1035,Johnson
1036,Mahlers2nd
1037,Sherwin
1038,Chachra
1039,Hayes
1040,Taylor
1041,Johnson
1042,Auken
1043,Engineer
1044,Engineer
1045,Lovitt
1046,Sherwin
1047,Morrison
1048,Morrison
1049,Neal
1050,Chell
1051,Agresti
1052,Hayes
1053,Shea
1054,Power
1055,Chachra
1056,Engineer
1057,Sherwin
1058,Harp
1059,Taylor
1060,Chell
1061,Lovitt
1062,Mahlers2nd
1063,Chell
1064,Harp
1065,Mahlers2nd
1066,Morrison
1067,Chell
1068,Chell
1069,Mark
1070,Chell
1071,Hayes
1072,Chell
1073,Blankenship
1074,Chachra
1075,Merritt
1076,Chell
1077,Chachra
1078,Chell
1079,Chell
1080,Agresti
1081,Morrison
1082,Blankenship
1083,Chell
1084,Neal
1085,Lovitt
1086,Chandler
1087,Lovitt
1088,Harp
1089,Chachra
1090,Chachra
1091,Chachra
1092,Chell
1093,Mahlers2nd
1094,Ashbacher
1095,Lovitt
1096,Peterson
1097,Mark
1098,Hayes
1099,Morrison
1100,Chachra
1101,Lovitt
1102,Mark
1103,Chell
1104,Lovitt
